CLAIMNUM,STATE,CLASS,PAID
27296,STATE 14,C6 ,1134.44
8716,STATE 15,C6 ,3761.24
16795,STATE 15,C11,7842.31
16721,STATE 15,F6 ,2384.67
1092,STATE 15,F6 ,650
10308,STATE 15,F6 ,391.12
28329,STATE 15,C11,3775.83
24251,STATE 10,C6 ,415.35
29273,STATE 14,C11,2283.56
17397,STATE 03,C11,665.48
136,STATE 02,C6 ,414
22942,STATE 14,F11,285.94
32102,STATE 15,F6 ,3488.99
26506,STATE 14,C6 ,2428
17539,STATE 15,C6 ,2049.26
13753,STATE 07,C6 ,1129.89
29218,STATE 02,C11,654
11461,STATE 03,C11,366.28
18361,STATE 14,F6 ,132.5
31752,STATE 15,C11,3890.07
96,STATE 15,C11,2927.76
7996,STATE 15,C6 ,2345.71
3093,STATE 15,C11,984.89
32228,STATE 04,C11,438.04
3667,STATE 04,C6 ,295.99
18071,STATE 15,C6 ,268.5
23922,STATE 02,C11,11756.34
26613,STATE 03,C6 ,8693.25
31858,STATE 15,F6 ,7261.51
18483,STATE 15,C6 ,5663.66
18400,STATE 02,C11,3746.15
26708,STATE 01,F6 ,2607.82
3763,STATE 01,C6 ,2402
4491,STATE 07,C6 ,2342.32
6419,STATE 17,C6 ,2104.31
18985,STATE 15,C11,1882.33
33624,STATE 15,C6 ,1418
479,STATE 01,C6 ,1400
31141,STATE 15,C6 ,1103.32
7498,STATE 15,C11,1092.1
25455,STATE 15,C1 ,1038.88
21504,STATE 02,C11,1013.06
28463,STATE 01,C11,802.91
1445,STATE 04,C11,656.54
15931,STATE 07,C6 ,296.97
6234,STATE 15,C6 ,267.43
17791,STATE 15,C1 ,249.1
21310,STATE 15,C1 ,187.79
7981,STATE 17,C6 ,59113.78
27560,STATE 15,C11,3681.48
9197,STATE 14,F1 ,2836.69
33185,STATE 15,C6 ,2495.7
11936,STATE 04,C11,2250
33328,STATE 15,C6 ,1903.21
14105,STATE 03,C11,1678.27
7382,STATE 15,C6 ,1553.42
26919,STATE 17,C11,1157.42
5900,STATE 15,C11,1074.51
18773,STATE 15,C6 ,935.26
27296,STATE 17,C11,915.77
30263,STATE 15,C11,877.24
27405,STATE 07,C6 ,854.67
14404,STATE 02,C6 ,785.25
6101,STATE 06,C6 ,645.46
17275,STATE 15,C6 ,580.67
23523,STATE 03,C11,487.7
16275,STATE 06,C6 ,479.37
33047,STATE 04,C11,328.09
18145,STATE 15,C6 ,275
23114,STATE 04,F6 ,264.13
